Sample name;1815-DVS2224C3501
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-25 08:20:25Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.39375435968319616
2;1000.5;0.3937267073838201
3;1001;0.3936752500849418
4;1001.5;0.3936091961271093
5;1002;0.393535010693597
6;1002.5;0.393459158767679
7;1003;0.39338810553262976
8;1003.5;0.3933283161717236
9;1004;0.39328625566823483
10;1004.5;0.39326838910543777
11;1005;0.39328118176660676
12;1005.5;0.39332684740169077
13;1006;0.3933949539315325
14;1006.5;0.3934800119938724
15;1007;0.39357746132398963
16;1007.5;0.3936827419571637
17;1008;0.39379129382867417
18;1008.5;0.3938985566738003
19;1009;0.3939999706278216
20;1009.5;0.39409097562601747
21;1010;0.39416701206074184
22;1010.5;0.39423096665094354
23;1011;0.39429649187721116
24;1011.5;0.3943631190436845
25;1012;0.39442914665450346
26;1012.5;0.39449287321380827
27;1013;0.3945525971257388
28;1013.5;0.394606616794435
29;1014;0.3946532307240368
30;1014.5;0.3946907374186844
31;1015;0.394717650765272
32;1015.5;0.39473786135341593
33;1016;0.39474744580067384
34;1016.5;0.3947480623670693
35;1017;0.39474181261262575
36;1017.5;0.39473079799736666
37;1018;0.39471712008131565
38;1018.5;0.3947028803244962
39;1019;0.39469018028693176
40;1019.5;0.394681121428646
41;1020;0.39467761496274495
42;1020.5;0.39467707320991197
43;1021;0.3946762044737154
44;1021.5;0.3946760695629838
45;1022;0.3946777841865461
46;1022.5;0.39468246395323103
47;1023;0.39469122467186735
48;1023.5;0.39470518215128364
49;1024;0.39472545190030883
50;1024.5;0.39475314982777177
51;1025;0.39478810000774384
52;1025.5;0.39482867018087087
53;1026;0.3948785591303975
54;1026.5;0.39493537842737725
55;1027;0.39499673994286394
56;1027.5;0.39506025514791115
57;1028;0.39512353581357257
58;1028.5;0.39518419351090184
59;1029;0.3952398400109526
60;1029.5;0.39528808688477846
61;1030;0.3953294895901844
62;1030.5;0.3953723063584156
63;1031;0.395415938804175
64;1031.5;0.3954599618805297
65;1032;0.39550395084054635
66;1032.5;0.39554748083729224
67;1033;0.3955901270238341
68;1033.5;0.3956314646532392
69;1034;0.3956710686785741
70;1034.5;0.3957085143529059
71;1035;0.3957480472755419
72;1035.5;0.39579536715272584
73;1036;0.39584598254320574
74;1036.5;0.39589753261359906
75;1037;0.3959476561305236
76;1037.5;0.39599399226059695
77;1038;0.3960341798704369
78;1038.5;0.3960658581266611
79;1039;0.39608666589588737
80;1039.5;0.39609424234473317
81;1040;0.3960846857102527
82;1040.5;0.3960584135384785
83;1041;0.39601945049732384
84;1041.5;0.39597100974440724
85;1042;0.3959163042373474
86;1042.5;0.39585854713376273
87;1043;0.395800951191272
88;1043.5;0.3957467296674936
89;1044;0.3956990955200461
90;1044.5;0.39566126180654815
91;1045;0.39562563100908293
92;1045.5;0.39559157084381424
93;1046;0.39556284966153754
94;1046.5;0.39554036264628867
95;1047;0.3955250047821036
96;1047.5;0.3955176711530183
97;1048;0.39551925674306865
98;1048.5;0.3955306566362906
99;1049;0.39555276601672007
100;1049.5;0.39558645708802537
101;1050;0.3956250697573278
102;1050.5;0.3956716081158598
103;1051;0.3957251661507387
104;1051.5;0.3957825247490825
105;1052;0.39584046499800846
