Sample name;1888-DVS4436G5101
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-05-26 06:33:09Z

MEAS SPEC;记录光谱 1;Met：PA6采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.3472735971827188
2;1000.5;0.347268795522368
3;1001;0.3472412689449117
4;1001.5;0.34719946336269636
5;1002;0.34714907336347284
6;1002.5;0.3470957933349915
7;1003;0.3470453178650031
8;1003.5;0.347003341541258
9;1004;0.3469755587515071
10;1004.5;0.3469676639835009
11;1005;0.34698535192498986
12;1005.5;0.3470315348459054
13;1006;0.3470981984189154
14;1006.5;0.3471801891123153
15;1007;0.3472732382101646
16;1007.5;0.3473730772965227
17;1008;0.3474754378554492
18;1008.5;0.34757605117100365
19;1009;0.34767064892724553
20;1009.5;0.34775496260823435
21;1010;0.347824724731762
22;1010.5;0.347886478084641
23;1011;0.34795627772632803
24;1011.5;0.34803233504656783
25;1012;0.34811162863510525
26;1012.5;0.348191137081685
27;1013;0.34826783887605195
28;1013.5;0.348338712507951
29;1014;0.3484007365671268
30;1014.5;0.3484508896433242
31;1015;0.3484864673921516
32;1015.5;0.3485146914421521
33;1016;0.34853342417465294
34;1016.5;0.34854380959047343
35;1017;0.3485474349904325
36;1017.5;0.34854588757534943
37;1018;0.3485407546460432
38;1018.5;0.3485336234033331
39;1019;0.3485260811480381
40;1019.5;0.3485197150809773
41;1020;0.348516761213734
42;1020.5;0.3485251792986612
43;1021;0.3485429016243193
44;1021.5;0.34856828814568275
45;1022;0.3485997537177265
46;1022.5;0.3486357130954252
47;1023;0.3486745812337537
48;1023.5;0.3487147730876866
49;1024;0.3487547033121987
50;1024.5;0.3487927869622647
51;1025;0.34882684080132853
52;1025.5;0.3488587375910252
53;1026;0.3488940351528421
54;1026.5;0.34893145306859924
55;1027;0.34896971122011705
56;1027.5;0.3490075290892157
57;1028;0.3490436264577153
58;1028.5;0.34907672290743613
59;1029;0.3491055382201983
60;1029.5;0.3491287919778222
61;1030;0.34914943607083715
62;1030.5;0.34918093041096643
63;1031;0.34922147469748327
64;1031.5;0.34926877283542035
65;1032;0.34932052902981026
66;1032.5;0.3493744473856859
67;1033;0.3494282320080798
68;1033.5;0.34947958710202487
69;1034;0.3495262165725538
70;1034.5;0.34956582462469904
71;1035;0.34960231262944763
72;1035.5;0.3496447606593867
73;1036;0.34968933980715383
74;1036.5;0.34973415702112715
75;1037;0.3497773188496847
76;1037.5;0.3498169322412046
77;1038;0.3498511038440649
78;1038.5;0.3498779406066439
79;1039;0.3498955491773196
80;1039.5;0.34990203650447
81;1040;0.34989470422578817
82;1040.5;0.34987491185640973
83;1041;0.3498456893215726
84;1041.5;0.3498092223942101
85;1042;0.3497676966472554
86;1042.5;0.3497232978536415
87;1043;0.34967821138630184
88;1043.5;0.34963462311816945
89;1044;0.34959471862217756
90;1044.5;0.3495606835712593
91;1045;0.3495244734339602
92;1045.5;0.3494861604815377
93;1046;0.34945011161525547
94;1046.5;0.349417819692232
95;1047;0.3493907773695854
96;1047.5;0.34937047740443405
97;1048;0.349358412453896
98;1048.5;0.3493560752750896
99;1049;0.34936495872513307
100;1049.5;0.3493865188564937
101;1050;0.3494097422342922
102;1050.5;0.3494351645230617
103;1051;0.3494638363866115
104;1051.5;0.34949449538875116
105;1052;0.34952587929329004
