Sample name;2152-DVF3336S3801-02
Subsample name;子样品1
Subsample status;Finished
Operating procedure;OP:PA6采谱
Determination start;2026-06-15 02:01:27Z

MEAS SPEC;记录光谱 1;Met：采谱  1
MP list
#;Wavelength / nm;Absorbance / AU
1;1000;0.27505306841773397
2;1000.5;0.27515100454472335
3;1001;0.2752480316141618
4;1001.5;0.2753454675999521
5;1002;0.27544515623935967
6;1002.5;0.27554965926529684
7;1003;0.27565737519851885
8;1003.5;0.2757662960424257
9;1004;0.27587441379641786
10;1004.5;0.2759797204618956
11;1005;0.2760802080422592
12;1005.5;0.276173868536909
13;1006;0.2762586939492454
14;1006.5;0.27633267627866853
15;1007;0.2763944674777256
16;1007.5;0.27644677628254055
17;1008;0.2764921814328617
18;1008.5;0.27653288817198635
19;1009;0.27657110174321187
20;1009.5;0.27660902739083537
21;1010;0.2766488703581542
22;1010.5;0.2766928358894657
23;1011;0.27674312922706706
24;1011.5;0.2768019556142554
25;1012;0.27687016761142597
26;1012.5;0.27694929886437586
27;1013;0.2770381939304421
28;1013.5;0.27713392132080766
29;1014;0.27723354954465557
30;1014.5;0.27733414711316884
31;1015;0.27743278253453035
32;1015.5;0.2775265243199231
33;1016;0.2776124409785302
34;1016.5;0.27768760102153445
35;1017;0.27775276081806327
36;1017.5;0.2778141204530207
37;1018;0.2778724054909323
38;1018.5;0.27792782536400795
39;1019;0.2779805895044576
40;1019.5;0.2780309073424912
41;1020;0.27807898830931865
42;1020.5;0.2781250418371497
43;1021;0.27816927735719443
44;1021.5;0.2782119043006627
45;1022;0.2782537910223108
46;1022.5;0.27829444528182473
47;1023;0.2783337631376964
48;1023.5;0.27837196174597534
49;1024;0.27840925825871105
50;1024.5;0.27844586983395303
51;1025;0.27848201362375097
52;1025.5;0.2785179067851543
53;1026;0.2785537664712127
54;1026.5;0.2785898102195156
55;1027;0.27862619384495596
56;1027.5;0.2786627947169875
57;1028;0.27869935820139974
58;1028.5;0.2787356107399825
59;1029;0.27877127877552543
60;1029.5;0.2788060887498182
61;1030;0.2788397671066506
62;1030.5;0.2788720402878123
63;1031;0.278902634736093
64;1031.5;0.2789312861323029
65;1032;0.2789586933086826
66;1032.5;0.2789861919840462
67;1033;0.27901394342417835
68;1033.5;0.2790420341408638
69;1034;0.2790705506448874
70;1034.5;0.27909957944603364
71;1035;0.2791292070540873
72;1035.5;0.27915951998083316
73;1036;0.27919060473705587
74;1036.5;0.2792224867245427
75;1037;0.27925415138117543
76;1037.5;0.27928661319989356
77;1038;0.27931954338884857
78;1038.5;0.27935246272319203
79;1039;0.2793848919780756
80;1039.5;0.2794163519276508
81;1040;0.27944636334706935
82;1040.5;0.27947444701148266
83;1041;0.27950012369504246
84;1041.5;0.27952293948710033
85;1042;0.2795427837310913
86;1042.5;0.2795598083908865
87;1043;0.27957495654322057
88;1043.5;0.27958920332682813
89;1044;0.2796035238784439
90;1044.5;0.27961889333580264
91;1045;0.2796362868356388
92;1045.5;0.2796566795166873
93;1046;0.27968104651568276
94;1046.5;0.2797106138158464
95;1047;0.27974841857185256
96;1047.5;0.2797933449706832
97;1048;0.2798436367210297
98;1048.5;0.2798975589985836
99;1049;0.27995337698003636
100;1049.5;0.28000935584007947
101;1050;0.28006376075640455
102;1050.5;0.280114856904703
103;1051;0.28016090945966626
104;1051.5;0.28020101524411933
